invoice_id,vendor_id,vendor_name,vendor_category,date_issued,date_due,payment_terms,service_type,amount_subtotal,tax_rate,tax_amount,amount_total,status,payment_date,invoice_currency,po_number
INV-000032,V042,Logistics Provider 42,Transportation,2024-01-19 11:07:23.243243243,2024-04-18 11:07:23.243243243,NET90,Last Mile Delivery,168245.2,0.05,8412.26,176657.46,Paid,2024-04-13 11:07:23.243243243,USD,PO-5693
INV-000033,V028,Logistics Provider 28,Freight Forwarder,2024-01-20 01:25:02.702702702,2024-03-20 01:25:02.702702702,NET60,Cross-Border,6966.33,0.05,348.32,7314.65,Paid,2024-03-08 01:25:02.702702702,USD,PO-2450
INV-000034,V016,Logistics Provider 16,Warehousing,2024-01-20 15:42:42.162162162,2024-04-19 15:42:42.162162162,NET90,Air Freight,24433.47,0.0,0.0,24433.47,Paid,2024-04-10 15:42:42.162162162,USD,PO-8418
INV-000035,V015,Logistics Provider 15,Last Mile Delivery,2024-01-21 06:00:21.621621621,2024-03-21 06:00:21.621621621,NET60,Road Transport,25799.27,0.05,1289.96,27089.23,Paid,2024-03-16 06:00:21.621621621,USD,PO-8240
INV-000036,V047,Logistics Provider 47,Freight Forwarder,2024-01-21 20:18:01.081081081,2024-03-06 20:18:01.081081081,NET45,Express Delivery,12395.02,0.05,619.75,13014.77,Paid,2024-02-23 20:18:01.081081081,USD,PO-7300
INV-000037,V044,Logistics Provider 44,Last Mile Delivery,2024-01-22 10:35:40.540540540,2024-03-07 10:35:40.540540540,NET45,Air Freight,4918.3,0.1,491.83,5410.13,Pending,,USD,PO-7896
INV-000038,V003,Logistics Provider 3,Warehousing,2024-01-23 00:53:20.000000000,2024-02-22 00:53:20.000000000,NET30,Cross-Border,39059.46,0.0,0.0,39059.46,Approved,,USD,PO-1857
INV-000039,V037,Logistics Provider 37,Warehousing,2024-01-23 15:10:59.459459459,2024-03-08 15:10:59.459459459,NET45,Warehousing,6979.72,0.1,697.97,7677.69,Approved,,USD,PO-1068
INV-000040,V007,Logistics Provider 7,Freight Forwarder,2024-01-24 05:28:38.918918919,2024-04-23 05:28:38.918918919,NET90,Warehousing,30120.25,0.1,3012.02,33132.27,Rejected,,USD,PO-6231
INV-000041,V021,Logistics Provider 21,Customs Broker,2024-01-24 19:46:18.378378378,2024-03-09 19:46:18.378378378,NET45,Cross-Border,46886.01,0.05,2344.3,49230.31,Approved,,USD,PO-4852
INV-000042,V009,Logistics Provider 9,Transportation,2024-01-25 10:03:57.837837838,2024-03-25 10:03:57.837837838,NET60,Last Mile Delivery,43929.15,0.0,0.0,43929.15,Paid,2024-03-23 10:03:57.837837838,USD,PO-4815
INV-000043,V039,Logistics Provider 39,Warehousing,2024-01-26 00:21:37.297297297,2024-03-11 00:21:37.297297297,NET45,Customs Clearance,14609.88,0.05,730.49,15340.37,Paid,2024-02-27 00:21:37.297297297,USD,PO-4402
INV-000044,V018,Logistics Provider 18,Last Mile Delivery,2024-01-26 14:39:16.756756756,2024-02-25 14:39:16.756756756,NET30,Customs Clearance,42720.98,0.0,0.0,42720.98,Paid,2024-02-13 14:39:16.756756756,USD,PO-6313
INV-000045,V004,Logistics Provider 4,Transportation,2024-01-27 04:56:56.216216216,2024-03-12 04:56:56.216216216,NET45,Last Mile Delivery,1016.29,0.1,101.63,1117.92,Paid,2024-03-07 04:56:56.216216216,USD,PO-7673
INV-000046,V025,Logistics Provider 25,Last Mile Delivery,2024-01-27 19:14:35.675675675,2024-03-27 19:14:35.675675675,NET60,Warehousing,1866.7,0.0,0.0,1866.7,Approved,,USD,PO-1209
INV-000047,V014,Logistics Provider 14,Customs Broker,2024-01-28 09:32:15.135135135,2024-03-28 09:32:15.135135135,NET60,Warehousing,30525.11,0.05,1526.26,32051.37,Paid,2024-03-26 09:32:15.135135135,USD,PO-2245
INV-000048,V050,Logistics Provider 50,Transportation,2024-01-28 23:49:54.594594594,2024-04-27 23:49:54.594594594,NET90,Express Delivery,18875.11,0.05,943.76,19818.87,Paid,2024-04-25 23:49:54.594594594,USD,PO-5597
INV-000049,V009,Logistics Provider 9,Transportation,2024-01-29 14:07:34.054054054,2024-03-14 14:07:34.054054054,NET45,Warehousing,19936.58,0.05,996.83,20933.41,Approved,,USD,PO-9394
INV-000050,V026,Logistics Provider 26,Warehousing,2024-01-30 04:25:13.513513513,2024-03-30 04:25:13.513513513,NET60,Air Freight,143288.05,0.0,0.0,143288.05,Approved,,USD,PO-5675
INV-000051,V002,Logistics Provider 2,Transportation,2024-01-30 18:42:52.972972973,2024-02-29 18:42:52.972972973,NET30,Warehousing,10397.34,0.1,1039.73,11437.07,Paid,2024-02-15 18:42:52.972972973,USD,PO-1762
INV-000052,V020,Logistics Provider 20,Warehousing,2024-01-31 09:00:32.432432432,2024-04-30 09:00:32.432432432,NET90,Sea Freight,11376.01,0.1,1137.6,12513.61,Paid,2024-04-29 09:00:32.432432432,USD,PO-2523
INV-000053,V028,Logistics Provider 28,Freight Forwarder,2024-01-31 23:18:11.891891892,2024-03-01 23:18:11.891891892,NET30,Express Delivery,24745.48,0.0,0.0,24745.48,Pending,,USD,PO-1715
INV-000054,V047,Logistics Provider 47,Freight Forwarder,2024-02-01 13:35:51.351351351,2024-03-17 13:35:51.351351351,NET45,Road Transport,37958.42,0.05,1897.92,39856.34,Paid,2024-03-09 13:35:51.351351351,USD,PO-7502
INV-000055,V007,Logistics Provider 7,Freight Forwarder,2024-02-02 03:53:30.810810811,2024-03-18 03:53:30.810810811,NET45,Warehousing,31355.39,0.1,3135.54,34490.93,Paid,2024-03-18 03:53:30.810810811,USD,PO-1017
INV-000056,V044,Logistics Provider 44,Last Mile Delivery,2024-02-02 18:11:10.270270270,2024-03-18 18:11:10.270270270,NET45,Last Mile Delivery,15570.4,0.05,778.52,16348.92,Approved,,USD,PO-5771
INV-000057,V008,Logistics Provider 8,Customs Broker,2024-02-03 08:28:49.729729730,2024-05-03 08:28:49.729729730,NET90,Road Transport,22086.52,0.0,0.0,22086.52,Rejected,,USD,PO-6219
INV-000058,V047,Logistics Provider 47,Freight Forwarder,2024-02-03 22:46:29.189189189,2024-04-03 22:46:29.189189189,NET60,Air Freight,9362.57,0.05,468.13,9830.7,Paid,2024-03-25 22:46:29.189189189,USD,PO-3958
INV-000059,V035,Logistics Provider 35,Freight Forwarder,2024-02-04 13:04:08.648648648,2024-05-04 13:04:08.648648648,NET90,Last Mile Delivery,4656.86,0.1,465.69,5122.55,Paid,2024-04-21 13:04:08.648648648,USD,PO-6305
INV-000060,V014,Logistics Provider 14,Customs Broker,2024-02-05 03:21:48.108108108,2024-03-06 03:21:48.108108108,NET30,Road Transport,38137.71185110737,0.1,3813.77,41951.48,Paid,2024-02-21 03:21:48.108108108,USD,PO-2346
INV-000060,V014,Logistics Provider 14,Customs Broker,2024-02-05 03:21:48.108108108,2024-03-06 03:21:48.108108108,NET30,Road Transport,39352.11,0.1,3935.21,43287.32,Paid,2024-02-21 03:21:48.108108108,USD,PO-2346
INV-000061,V017,Logistics Provider 17,Freight Forwarder,2024-02-05 17:39:27.567567567,2024-05-05 17:39:27.567567567,NET90,Last Mile Delivery,14003.98,0.05,700.2,14704.18,Pending,,USD,PO-6660
INV-000062,V036,Logistics Provider 36,Transportation,2024-02-06 07:57:07.027027027,2024-03-07 07:57:07.027027027,NET30,Air Freight,9710.55,0.0,0.0,9710.55,Approved,,USD,PO-4028
INV-000063,V050,Logistics Provider 50,Transportation,2024-02-06 22:14:46.486486486,2024-05-06 22:14:46.486486486,NET90,Express Delivery,34889.28,0.05,1744.46,36633.74,Approved,,USD,PO-8177
INV-000064,V040,Logistics Provider 40,Freight Forwarder,2024-02-07 12:32:25.945945946,2024-04-07 12:32:25.945945946,NET60,Sea Freight,31284.53,0.0,0.0,31284.53,Approved,,USD,PO-2512
INV-000065,V004,Logistics Provider 4,Transportation,2024-02-08 02:50:05.405405405,2024-03-09 02:50:05.405405405,NET30,Air Freight,32026.29,0.05,1601.31,33627.6,Approved,,USD,PO-3589
INV-000066,V002,Logistics Provider 2,Transportation,2024-02-08 17:07:44.864864865,2024-03-24 17:07:44.864864865,NET45,Air Freight,12215.84,0.1,1221.58,13437.42,Paid,2024-03-22 17:07:44.864864865,USD,PO-5286
INV-000067,V006,Logistics Provider 6,Last Mile Delivery,2024-02-09 07:25:24.324324324,2024-03-25 07:25:24.324324324,NET45,Last Mile Delivery,12399.63,0.0,0.0,12399.63,Paid,2024-03-25 07:25:24.324324324,USD,PO-1219
INV-000068,V042,Logistics Provider 42,Transportation,2024-02-09 21:43:03.783783784,2024-05-09 21:43:03.783783784,NET90,Express Delivery,11819.33,0.0,0.0,11819.33,Paid,2024-05-05 21:43:03.783783784,USD,PO-1355
INV-000069,V004,Logistics Provider 4,Transportation,2024-02-10 12:00:43.243243243,2024-03-26 12:00:43.243243243,NET45,Cross-Border,9513.88,0.0,0.0,9513.88,Paid,2024-03-11 12:00:43.243243243,USD,PO-9260
INV-000070,V029,Logistics Provider 29,Customs Broker,2024-02-11 02:18:22.702702703,2024-03-12 02:18:22.702702703,NET30,Customs Clearance,33130.46,0.1,3313.05,36443.51,Paid,2024-03-04 02:18:22.702702703,USD,PO-4348
INV-000071,V018,Logistics Provider 18,Last Mile Delivery,2024-02-11 16:36:02.162162162,2024-03-27 16:36:02.162162162,NET45,Warehousing,42552.78,0.05,2127.64,44680.42,Approved,,USD,PO-7021
INV-000072,V026,Logistics Provider 26,Warehousing,2024-02-12 06:53:41.621621621,2024-04-12 06:53:41.621621621,NET60,Warehousing,36491.56,0.1,3649.16,40140.72,Approved,,USD,PO-8441
INV-000073,V044,Logistics Provider 44,Last Mile Delivery,2024-02-12 21:11:21.081081081,2024-04-12 21:11:21.081081081,NET60,Sea Freight,39812.59,0.0,0.0,39812.59,Paid,2024-03-28 21:11:21.081081081,USD,PO-5072
INV-000074,V034,Logistics Provider 34,Warehousing,2024-02-13 11:29:00.540540540,2024-05-13 11:29:00.540540540,NET90,Sea Freight,20835.12,0.05,1041.76,21876.88,Paid,2024-05-10 11:29:00.540540540,USD,PO-2440
INV-000075,V010,Logistics Provider 10,Last Mile Delivery,2024-02-14 01:46:40.000000000,2024-03-15 01:46:40.000000000,NET30,Warehousing,33049.71,0.1,3304.97,36354.68,Approved,,USD,PO-2774
INV-000076,V036,Logistics Provider 36,Transportation,2024-02-14 16:04:19.459459459,2024-04-14 16:04:19.459459459,NET60,Customs Clearance,18357.58,0.0,0.0,18357.58,Paid,2024-04-06 16:04:19.459459459,USD,PO-9802
INV-000077,V014,Logistics Provider 14,Customs Broker,2024-02-15 06:21:58.918918919,2024-04-15 06:21:58.918918919,NET60,Warehousing,26749.73,0.0,0.0,26749.73,Pending,,USD,PO-2496
INV-000078,V031,Logistics Provider 31,Customs Broker,2024-02-15 20:39:38.378378378,2024-03-16 20:39:38.378378378,NET30,Cross-Border,24600.11,0.1,2460.01,27060.12,Paid,2024-03-08 20:39:38.378378378,USD,PO-1977
INV-000079,V048,Logistics Provider 48,Customs Broker,2024-02-16 10:57:17.837837838,2024-04-01 10:57:17.837837838,NET45,Customs Clearance,9667.47,0.1,966.75,10634.22,Paid,2024-03-27 10:57:17.837837838,USD,PO-1934
INV-000080,V015,Logistics Provider 15,Last Mile Delivery,2024-02-17 01:14:57.297297297,2024-04-02 01:14:57.297297297,NET45,Sea Freight,19966.86,0.1,1996.69,21963.55,Paid,2024-04-02 01:14:57.297297297,USD,PO-4233
INV-000081,V008,Logistics Provider 8,Customs Broker,2024-02-17 15:32:36.756756757,2024-05-17 15:32:36.756756757,NET90,Road Transport,48227.29,0.0,0.0,48227.29,Rejected,,USD,PO-2762
INV-000082,V014,Logistics Provider 14,Customs Broker,2024-02-18 05:50:16.216216216,2024-04-03 05:50:16.216216216,NET45,Last Mile Delivery,13180.43,0.1,1318.04,14498.47,Paid,2024-04-02 05:50:16.216216216,USD,PO-8417
INV-000083,V023,Logistics Provider 23,Warehousing,2024-02-18 20:07:55.675675676,2024-03-19 20:07:55.675675676,NET30,Cross-Border,7556.38,0.0,0.0,7556.38,Rejected,,USD,PO-7755
INV-000084,V040,Logistics Provider 40,Freight Forwarder,2024-02-19 10:25:35.135135135,2024-04-19 10:25:35.135135135,NET60,Cross-Border,21510.45,0.1,2151.04,23661.49,Rejected,,USD,PO-1349
INV-000085,V021,Logistics Provider 21,Customs Broker,2024-02-20 00:43:14.594594594,2024-04-05 00:43:14.594594594,NET45,Express Delivery,39726.55,0.0,0.0,39726.55,Paid,2024-03-30 00:43:14.594594594,USD,PO-7362
INV-000086,V016,Logistics Provider 16,Warehousing,2024-02-20 15:00:54.054054054,2024-05-20 15:00:54.054054054,NET90,Sea Freight,29525.26,0.0,0.0,29525.26,Paid,2024-05-15 15:00:54.054054054,USD,PO-1619
INV-000087,V045,Logistics Provider 45,Customs Broker,2024-02-21 05:18:33.513513513,2024-04-06 05:18:33.513513513,NET45,Sea Freight,34367.77,0.05,1718.39,36086.16,Pending,,USD,PO-6914
INV-000088,V018,Logistics Provider 18,Last Mile Delivery,2024-02-21 19:36:12.972972973,2024-03-22 19:36:12.972972973,NET30,Air Freight,10295.05,0.1,1029.5,11324.55,Approved,,USD,PO-7114
INV-000089,V047,Logistics Provider 47,Freight Forwarder,2024-02-22 09:53:52.432432433,2024-05-22 09:53:52.432432433,NET90,Cross-Border,31328.46,0.1,3132.85,34461.31,Paid,2024-05-22 09:53:52.432432433,USD,PO-2060
INV-000090,V024,Logistics Provider 24,Freight Forwarder,2024-02-23 00:11:31.891891892,2024-04-08 00:11:31.891891892,NET45,Air Freight,16851.52,0.0,0.0,16851.52,Approved,,USD,PO-5378
INV-000091,V026,Logistics Provider 26,Warehousing,2024-02-23 14:29:11.351351351,2024-05-23 14:29:11.351351351,NET90,Air Freight,41880.86,0.0,0.0,41880.86,Approved,,USD,PO-7962
INV-000092,V025,Logistics Provider 25,Last Mile Delivery,2024-02-24 04:46:50.810810811,2024-03-25 04:46:50.810810811,NET30,Last Mile Delivery,31835.64,0.0,0.0,31835.64,Rejected,,USD,PO-5939
INV-000093,V045,Logistics Provider 45,Customs Broker,2024-02-24 19:04:30.270270270,2024-04-24 19:04:30.270270270,NET60,Air Freight,10743.96,0.05,537.2,11281.16,Paid,2024-04-21 19:04:30.270270270,USD,PO-8182
INV-000094,V041,Logistics Provider 41,Warehousing,2024-02-25 09:22:09.729729730,2024-03-26 09:22:09.729729730,NET30,Customs Clearance,4166.22,0.05,208.31,4374.53,Paid,2024-03-16 09:22:09.729729730,USD,PO-9559
INV-000095,V029,Logistics Provider 29,Customs Broker,2024-02-25 23:39:49.189189189,2024-03-26 23:39:49.189189189,NET30,Warehousing,3089.03,0.0,0.0,3089.03,Approved,,USD,PO-7147
INV-000096,V015,Logistics Provider 15,Last Mile Delivery,2024-02-26 13:57:28.648648649,2024-03-27 13:57:28.648648649,NET30,Road Transport,19199.02,0.1,1919.9,21118.92,Pending,,USD,PO-5861
INV-000097,V045,Logistics Provider 45,Customs Broker,2024-02-27 04:15:08.108108108,2024-03-28 04:15:08.108108108,NET30,Sea Freight,14026.71,0.1,1402.67,15429.38,Pending,,USD,PO-4153
INV-000098,V001,Logistics Provider 1,Last Mile Delivery,2024-02-27 18:32:47.567567568,2024-04-27 18:32:47.567567568,NET60,Customs Clearance,32658.42,0.05,1632.92,34291.34,Approved,,USD,PO-6835
INV-000099,V025,Logistics Provider 25,Last Mile Delivery,2024-02-28 08:50:27.027027027,2024-04-28 08:50:27.027027027,NET60,Road Transport,25467.36,0.05,1273.37,26740.73,Pending,,USD,PO-2457
INV-000100,V007,Logistics Provider 7,Freight Forwarder,2024-02-28 23:08:06.486486487,2024-05-28 23:08:06.486486487,NET90,Cross-Border,14034.94,0.0,0.0,14034.94,Pending,,USD,PO-1356
INV-000101,V009,Logistics Provider 9,Transportation,2024-02-29 13:25:45.945945946,2024-04-14 13:25:45.945945946,NET45,Cross-Border,8312.65,0.1,831.26,9143.91,Rejected,,USD,PO-3294
INV-000102,V024,Logistics Provider 24,Freight Forwarder,2024-03-01 03:43:25.405405406,2024-04-30 03:43:25.405405406,NET60,Cross-Border,7232.79,0.0,0.0,7232.79,Paid,2024-04-18 03:43:25.405405406,USD,PO-3620
INV-000103,V001,Logistics Provider 1,Last Mile Delivery,2024-03-01 18:01:04.864864865,2024-04-30 18:01:04.864864865,NET60,Customs Clearance,43368.36,0.05,2168.42,45536.78,Approved,,USD,PO-1424
INV-000104,V044,Logistics Provider 44,Last Mile Delivery,2024-03-02 08:18:44.324324324,2024-04-16 08:18:44.324324324,NET45,Customs Clearance,12840.104687932057,0.1,1284.01,14124.11,Pending,,USD,PO-3124
INV-000104,V044,Logistics Provider 44,Last Mile Delivery,2024-03-02 08:18:44.324324324,2024-04-16 08:18:44.324324324,NET45,Customs Clearance,64652.1,0.1,6465.21,71117.31,Pending,,USD,PO-3124
INV-000105,V008,Logistics Provider 8,Customs Broker,2024-03-02 22:36:23.783783784,2024-05-01 22:36:23.783783784,NET60,Sea Freight,32933.82,0.1,3293.38,36227.2,Paid,2024-04-28 22:36:23.783783784,USD,PO-2640
INV-000106,V024,Logistics Provider 24,Freight Forwarder,2024-03-03 12:54:03.243243243,2024-04-02 12:54:03.243243243,NET30,Warehousing,40723.61,0.05,2036.18,42759.79,Pending,,USD,PO-4710
INV-000107,V011,Logistics Provider 11,Freight Forwarder,2024-03-04 03:11:42.702702703,2024-04-03 03:11:42.702702703,NET30,Express Delivery,31089.98,0.0,0.0,31089.98,Rejected,,USD,PO-7426
INV-000108,V017,Logistics Provider 17,Freight Forwarder,2024-03-04 17:29:22.162162162,2024-04-18 17:29:22.162162162,NET45,Air Freight,43118.7,0.0,0.0,43118.7,Approved,,USD,PO-9492
INV-000109,V008,Logistics Provider 8,Customs Broker,2024-03-05 07:47:01.621621622,2024-06-03 07:47:01.621621622,NET90,Cross-Border,20227.29,0.1,2022.73,22250.02,Approved,,USD,PO-2722
INV-000110,V035,Logistics Provider 35,Freight Forwarder,2024-03-05 22:04:41.081081081,2024-06-03 22:04:41.081081081,NET90,Last Mile Delivery,47854.89,0.05,2392.74,50247.63,Approved,,USD,PO-7466
INV-000111,V035,Logistics Provider 35,Freight Forwarder,2024-03-06 12:22:20.540540541,2024-04-20 12:22:20.540540541,NET45,Warehousing,7524.11,0.1,752.41,8276.52,Pending,,USD,PO-6584
INV-000112,V033,Logistics Provider 33,Customs Broker,2024-03-07 02:40:00.000000000,2024-04-21 02:40:00.000000000,NET45,Last Mile Delivery,6005.33,0.05,300.27,6305.6,Paid,2024-03-08 02:40:00,USD,PO-6734
INV-000113,V005,Logistics Provider 5,Warehousing,2024-03-07 16:57:39.459459460,2024-04-06 16:57:39.459459460,NET30,Sea Freight,33275.92,0.0,0.0,33275.92,Paid,2024-03-27 16:57:39.459459460,USD,PO-5977
INV-000114,V042,Logistics Provider 42,Transportation,2024-03-08 07:15:18.918918919,2024-06-06 07:15:18.918918919,NET90,Sea Freight,47198.73,0.05,2359.94,49558.67,Paid,2024-05-28 07:15:18.918918919,USD,PO-4630
INV-000115,V039,Logistics Provider 39,Warehousing,2024-03-08 21:32:58.378378379,2024-05-07 21:32:58.378378379,NET60,Sea Freight,40635.29,0.0,0.0,40635.29,Pending,,USD,PO-8424
INV-000116,V041,Logistics Provider 41,Warehousing,2024-03-09 11:50:37.837837838,2024-04-08 11:50:37.837837838,NET30,Road Transport,4744.43,0.05,237.22,4981.65,Paid,2024-04-03 11:50:37.837837838,USD,PO-7748
INV-000117,V028,Logistics Provider 28,Freight Forwarder,2024-03-10 02:08:17.297297297,2024-04-24 02:08:17.297297297,NET45,Last Mile Delivery,14689.02,0.1,1468.9,16157.92,Paid,2024-04-23 02:08:17.297297297,USD,PO-7134
INV-000118,V007,Logistics Provider 7,Freight Forwarder,2024-03-10 16:25:56.756756757,2024-06-08 16:25:56.756756757,NET90,Warehousing,46585.63,0.0,0.0,46585.63,Paid,2024-06-05 16:25:56.756756757,USD,PO-2497
INV-000119,V009,Logistics Provider 9,Transportation,2024-03-11 06:43:36.216216216,2024-05-10 06:43:36.216216216,NET60,Express Delivery,13399.86,0.1,1339.99,14739.85,Approved,,USD,PO-6914
INV-000120,V008,Logistics Provider 8,Customs Broker,2024-03-11 21:01:15.675675676,2024-05-10 21:01:15.675675676,NET60,Warehousing,39277.35,0.1,3927.74,43205.09,Approved,,USD,PO-7129
